Rank,ID,Background,Hair,Skin,Eyes,Body,Head,Accessory,Glasses,Hands,Total
57,1704,0.2907983106,13.63636364,0.4474272931,0.2169421488,1.215277778,0.630647415,0,0,0,16.43745658
58,810,1.80102916,0.9036144578,2.405498282,10.31941032,0.5514705882,0.4510326449,0,0,0,16.43205545
59,2258,1.55210643,0.3896103896,5.363984674,4.061895551,1.526162791,2.095975232,0,0,1.428668478,16.41840355
60,708,3.235747304,0.4444444444,0.8641975309,1.100340582,0.7056451613,0.6090868196,0,9.430769231,0,16.39023107
61,12,1.55210643,0.3896103896,0.4474272931,10.31941032,0.4825367647,2.095975232,1.082539683,0,0,16.36960611
62,1333,0.9026434558,0.4195804196,5.363984674,3.856749311,0.8306962025,4.191950464,0,0.6736263736,0,16.2392309
63,1138,0.2907983106,1.477832512,1.218450827,1.100340582,1.286764706,0.6090868196,0,9.430769231,0.7199589182,16.13400191
64,1261,1.55210643,0.3896103896,5.363984674,5.454545455,1.526162791,1.063629222,0,0,0.7199589182,16.06999788
65,2977,4.713804714,0.4444444444,5.363984674,3.856749311,0.6981382979,0.6598440546,0,0.322971549,0,16.05993705
66,3293,0.9026434558,0.9036144578,2.405498282,10.31941032,0.6433823529,0,0,0,0.7199589182,15.89450779
67,3268,0.9026434558,0.4195804196,1.218450827,10.31941032,1.526162791,0.8797920728,0,0,0.6055283616,15.87156825
68,872,0.9026434558,3.157894737,1.275045537,6.94214876,0.6433823529,0.7501385042,0.6959183673,0,1.498930862,15.86610258
69,813,9.79020979,0.4444444444,2.405498282,1.928374656,0.4825367647,0,0,0,0.7433722163,15.79443615
70,2968,1.55210643,0.9036144578,5.363984674,5.454545455,0.800304878,0.3872997712,0,0,1.30621118,15.76806685
71,400,0.9026434558,13.63636364,0.4410838059,0.2169421488,0.5561440678,0,0,0,0,15.75317711
72,1112,0.4294917681,0.9036144578,0.8641975309,0.5362614913,1.3671875,2.159489633,0,9.430769231,0,15.69101161
73,2912,0.9026434558,3.157894737,5.363984674,4.061895551,1.339285714,0.8585922638,0,0,0,15.6842964
74,478,3.602058319,1.020408163,1.678657074,4.061895551,1.215277778,2.226973684,0,0.2694505495,1.604118993,15.67884011
75,1248,1.081637909,2.205882353,5.363984674,3.856749311,1.526162791,0,0,0.7037887486,0.9052948773,15.64350066
76,1727,1.80102916,0.9345794393,0.4410838059,10.31941032,1.215277778,0.8797920728,0,0,0,15.59117257
77,2482,0.9090909091,0.9036144578,0.8641975309,10.31941032,1.988636364,0,0,0,0.6055283616,15.59047794
78,2360,1.55210643,1.41509434,1.678657074,3.856749311,0.5561440678,1.096356275,0,4.715384615,0.7199589182,15.59045103
79,38,0.2907983106,3.157894737,5.363984674,5.454545455,0.5514705882,0,0,0,0.7143342391,15.533028
80,3842,1.55210643,0.3896103896,1.218450827,10.31941032,0.5561440678,0.7501385042,0,0,0.7199589182,15.50581946
81,3966,0.4294917681,1.41509434,1.859229748,0.2169421488,0.5561440678,0.8585922638,4.2625,4.715384615,1.157402312,15.47078126
